ERROR: Unable to locate a modulefile for 'python-3.10.8-gcc-12.2.0-rq7r6nv'
ERROR: Unable to locate a modulefile for 'cuda/12.2'
Token has not been saved to git credential helper. Pass `add_to_git_credential=True` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/016651544/.cache/huggingface/token
Login successful
DEVICE:-  cuda:0
Read Data!! 
Dataset dictionary: 
 DatasetDict({
    train: Dataset({
        features: ['text'],
        num_rows: 500
    })
    validation: Dataset({
        features: ['text'],
        num_rows: 100
    })
})
{'quant_method': <QuantizationMethod.BITS_AND_BYTES: 'bitsandbytes'>, 'load_in_8bit': False, 'load_in_4bit': True, 'llm_int8_threshold': 6.0, 'llm_int8_skip_modules': None, 'llm_int8_enable_fp32_cpu_offload': False, 'llm_int8_has_fp16_weight': False, 'bnb_4bit_quant_type': 'nf4', 'bnb_4bit_use_double_quant': False, 'bnb_4bit_compute_dtype': 'float16'}
{'loss': 2.7609, 'learning_rate': 1e-05, 'epoch': 0.12}
{'loss': 0.0884, 'learning_rate': 2.693294185106562e-05, 'epoch': 16.75}
{'loss': 0.0927, 'learning_rate': 2.6202630348146324e-05, 'epoch': 16.88}
{'loss': 0.0991, 'learning_rate': 2.547882480847461e-05, 'epoch': 17.0}
{'loss': 0.0807, 'learning_rate': 2.476172311325783e-05, 'epoch': 17.12}
{'loss': 0.0801, 'learning_rate': 2.405152131093926e-05, 'epoch': 17.25}
{'loss': 0.0841, 'learning_rate': 2.3348413563600325e-05, 'epoch': 17.38}
{'loss': 0.0796, 'learning_rate': 2.2652592093878666e-05, 'epoch': 17.5}
{'loss': 0.0845, 'learning_rate': 2.196424713241637e-05, 'epoch': 17.62}
{'loss': 0.0855, 'learning_rate': 2.128356686585282e-05, 'epoch': 17.75}
{'loss': 0.0899, 'learning_rate': 2.061073738537635e-05, 'epoch': 17.88}
{'loss': 0.0905, 'learning_rate': 1.9945942635848748e-05, 'epoch': 18.0}
{'loss': 0.0794, 'learning_rate': 1.928936436551661e-05, 'epoch': 18.12}
{'loss': 0.0792, 'learning_rate': 1.8641182076323148e-05, 'epoch': 18.25}
{'loss': 0.0818, 'learning_rate': 1.800157297483417e-05, 'epoch': 18.38}
{'loss': 0.0803, 'learning_rate': 1.7370711923791567e-05, 'epoch': 18.5}
{'loss': 0.0822, 'learning_rate': 1.6748771394307585e-05, 'epoch': 18.62}
{'loss': 0.0816, 'learning_rate': 1.6135921418712956e-05, 'epoch': 18.75}
{'loss': 0.0845, 'learning_rate': 1.553232954407171e-05, 'epoch': 18.88}
{'loss': 0.0907, 'learning_rate': 1.4938160786375572e-05, 'epoch': 19.0}
{'loss': 0.0781, 'learning_rate': 1.435357758543015e-05, 'epoch': 19.12}
{'loss': 0.0768, 'learning_rate': 1.3778739760445552e-05, 'epoch': 19.25}
{'loss': 0.0758, 'learning_rate': 1.3213804466343421e-05, 'epoch': 19.38}
{'loss': 0.0806, 'learning_rate': 1.2658926150792322e-05, 'epoch': 19.5}
{'loss': 0.0809, 'learning_rate': 1.2114256511983274e-05, 'epoch': 19.62}
{'loss': 0.0786, 'learning_rate': 1.157994445715706e-05, 'epoch': 19.75}
{'loss': 0.0815, 'learning_rate': 1.1056136061894384e-05, 'epoch': 19.88}
{'loss': 0.0853, 'learning_rate': 1.0542974530180327e-05, 'epoch': 20.0}
{'eval_loss': 1.5358654260635376, 'eval_runtime': 3.7231, 'eval_samples_per_second': 26.859, 'eval_steps_per_second': 3.492, 'epoch': 20.0}
{'loss': 0.0769, 'learning_rate': 1.0040600155253765e-05, 'epoch': 20.12}
{'loss': 0.0757, 'learning_rate': 9.549150281252633e-06, 'epoch': 20.25}
{'loss': 0.0762, 'learning_rate': 9.068759265665384e-06, 'epoch': 20.38}
{'loss': 0.0774, 'learning_rate': 8.599558442598998e-06, 'epoch': 20.5}
{'loss': 0.0771, 'learning_rate': 8.141676086873572e-06, 'epoch': 20.62}
{'loss': 0.0779, 'learning_rate': 7.695237378953223e-06, 'epoch': 20.75}
{'loss': 0.0778, 'learning_rate': 7.260364370723044e-06, 'epoch': 20.88}
{'loss': 0.0821, 'learning_rate': 6.837175952121306e-06, 'epoch': 21.0}
{'loss': 0.0732, 'learning_rate': 6.425787818636131e-06, 'epoch': 21.12}
{'loss': 0.0744, 'learning_rate': 6.026312439675552e-06, 'epoch': 21.25}
{'loss': 0.0772, 'learning_rate': 5.6388590278194096e-06, 'epoch': 21.38}
{'loss': 0.0758, 'learning_rate': 5.263533508961827e-06, 'epoch': 21.5}
{'loss': 0.0773, 'learning_rate': 4.900438493352055e-06, 'epoch': 21.62}
{'loss': 0.0765, 'learning_rate': 4.549673247541875e-06, 'epoch': 21.75}
{'loss': 0.0755, 'learning_rate': 4.2113336672471245e-06, 'epoch': 21.88}
{'loss': 0.0789, 'learning_rate': 3.885512251130763e-06, 'epoch': 22.0}
{'loss': 0.0736, 'learning_rate': 3.5722980755146517e-06, 'epoch': 22.12}
{'loss': 0.0746, 'learning_rate': 3.271776770026963e-06, 'epoch': 22.25}
{'loss': 0.077, 'learning_rate': 2.9840304941919415e-06, 'epoch': 22.38}
{'loss': 0.0727, 'learning_rate': 2.7091379149682685e-06, 'epoch': 22.5}
{'loss': 0.0742, 'learning_rate': 2.4471741852423237e-06, 'epoch': 22.62}
{'loss': 0.0767, 'learning_rate': 2.1982109232821178e-06, 'epoch': 22.75}
{'loss': 0.0723, 'learning_rate': 1.962316193157593e-06, 'epoch': 22.88}
{'loss': 0.0781, 'learning_rate': 1.7395544861325718e-06, 'epoch': 23.0}
{'loss': 0.0716, 'learning_rate': 1.5299867030334814e-06, 'epoch': 23.12}
{'loss': 0.0726, 'learning_rate': 1.333670137599713e-06, 'epoch': 23.25}
{'loss': 0.0722, 'learning_rate': 1.1506584608200367e-06, 'epoch': 23.38}
{'loss': 0.0749, 'learning_rate': 9.810017062595322e-07, 'epoch': 23.5}
{'loss': 0.0763, 'learning_rate': 8.247462563808817e-07, 'epoch': 23.62}
{'loss': 0.0735, 'learning_rate': 6.819348298638839e-07, 'epoch': 23.75}
{'loss': 0.076, 'learning_rate': 5.526064699265753e-07, 'epoch': 23.88}
{'loss': 0.077, 'learning_rate': 4.367965336512403e-07, 'epoch': 24.0}
{'loss': 0.0711, 'learning_rate': 3.3453668231809286e-07, 'epoch': 24.12}
{'loss': 0.0729, 'learning_rate': 2.458548727494292e-07, 'epoch': 24.25}
{'loss': 0.0746, 'learning_rate': 1.7077534966650766e-07, 'epoch': 24.38}
{'loss': 0.0744, 'learning_rate': 1.0931863906127327e-07, 'epoch': 24.5}
{'loss': 0.0748, 'learning_rate': 6.150154258476315e-08, 'epoch': 24.62}
{'loss': 0.0726, 'learning_rate': 2.7337132953697554e-08, 'epoch': 24.75}
{'loss': 0.0743, 'learning_rate': 6.834750376549792e-09, 'epoch': 24.88}
{'loss': 0.0763, 'learning_rate': 0.0, 'epoch': 25.0}
{'eval_loss': 1.579869031906128, 'eval_runtime': 3.8611, 'eval_samples_per_second': 25.899, 'eval_steps_per_second': 3.367, 'epoch': 25.0}
{'train_runtime': 1001.8555, 'train_samples_per_second': 12.477, 'train_steps_per_second': 0.2, 'train_loss': 0.39470136146992446, 'epoch': 25.0}
PeftModelForCausalLM(
  (base_model): LoraModel(
    (model): LlamaForCausalLM(
      (model): LlamaModel(
        (embed_tokens): Embedding(32000, 4096)
        (layers): ModuleList(
          (0-31): 32 x LlamaDecoderLayer(
            (self_attn): LlamaAttention(
              (q_proj): Linear4bit(
                in_features=4096, out_features=4096, bias=False
                (lora_dropout): ModuleDict(
                  (default): Dropout(p=0.1, inplace=False)
                )
                (lora_A): ModuleDict(
                  (default): Linear(in_features=4096, out_features=16, bias=False)
                )
                (lora_B): ModuleDict(
                  (default): Linear(in_features=16, out_features=4096, bias=False)
                )
                (lora_embedding_A): ParameterDict()
                (lora_embedding_B): ParameterDict()
              )
              (k_proj): Linear4bit(
                in_features=4096, out_features=4096, bias=False
                (lora_dropout): ModuleDict(
                  (default): Dropout(p=0.1, inplace=False)
                )
                (lora_A): ModuleDict(
                  (default): Linear(in_features=4096, out_features=16, bias=False)
                )
                (lora_B): ModuleDict(
                  (default): Linear(in_features=16, out_features=4096, bias=False)
                )
                (lora_embedding_A): ParameterDict()
                (lora_embedding_B): ParameterDict()
              )
              (v_proj): Linear4bit(
                in_features=4096, out_features=4096, bias=False
                (lora_dropout): ModuleDict(
                  (default): Dropout(p=0.1, inplace=False)
                )
                (lora_A): ModuleDict(
                  (default): Linear(in_features=4096, out_features=16, bias=False)
                )
                (lora_B): ModuleDict(
                  (default): Linear(in_features=16, out_features=4096, bias=False)
                )
                (lora_embedding_A): ParameterDict()
                (lora_embedding_B): ParameterDict()
              )
              (o_proj): Linear4bit(
                in_features=4096, out_features=4096, bias=False
                (lora_dropout): ModuleDict(
                  (default): Dropout(p=0.1, inplace=False)
                )
                (lora_A): ModuleDict(
                  (default): Linear(in_features=4096, out_features=16, bias=False)
                )
                (lora_B): ModuleDict(
                  (default): Linear(in_features=16, out_features=4096, bias=False)
                )
                (lora_embedding_A): ParameterDict()
                (lora_embedding_B): ParameterDict()
              )
              (rotary_emb): LlamaRotaryEmbedding()
            )
            (mlp): LlamaMLP(
              (gate_proj): Linear4bit(
                in_features=4096, out_features=11008, bias=False
                (lora_dropout): ModuleDict(
                  (default): Dropout(p=0.1, inplace=False)
                )
                (lora_A): ModuleDict(
                  (default): Linear(in_features=4096, out_features=16, bias=False)
                )
                (lora_B): ModuleDict(
                  (default): Linear(in_features=16, out_features=11008, bias=False)
                )
                (lora_embedding_A): ParameterDict()
                (lora_embedding_B): ParameterDict()
              )
              (up_proj): Linear4bit(
                in_features=4096, out_features=11008, bias=False
                (lora_dropout): ModuleDict(
                  (default): Dropout(p=0.1, inplace=False)
                )
                (lora_A): ModuleDict(
                  (default): Linear(in_features=4096, out_features=16, bias=False)
                )
                (lora_B): ModuleDict(
                  (default): Linear(in_features=16, out_features=11008, bias=False)
                )
                (lora_embedding_A): ParameterDict()
                (lora_embedding_B): ParameterDict()
              )
              (down_proj): Linear4bit(
                in_features=11008, out_features=4096, bias=False
                (lora_dropout): ModuleDict(
                  (default): Dropout(p=0.1, inplace=False)
                )
                (lora_A): ModuleDict(
                  (default): Linear(in_features=11008, out_features=16, bias=False)
                )
                (lora_B): ModuleDict(
                  (default): Linear(in_features=16, out_features=4096, bias=False)
                )
                (lora_embedding_A): ParameterDict()
                (lora_embedding_B): ParameterDict()
              )
              (act_fn): SiLUActivation()
            )
            (input_layernorm): LlamaRMSNorm()
            (post_attention_layernorm): LlamaRMSNorm()
          )
        )
        (norm): LlamaRMSNorm()
      )
      (lm_head): Linear(in_features=4096, out_features=32000, bias=False)
    )
  )
)
