Token has not been saved to git credential helper. Pass `add_to_git_credential=True` if you want to set the git credential as well.
Token is valid (permission: write).
Your token has been saved to /home/016651544/.cache/huggingface/token
Login successful
DEVICE:-  cuda:0
Read Data!! 
Dataset dictionary: 
 DatasetDict({
    train: Dataset({
        features: ['text'],
        num_rows: 20000
    })
    validation: Dataset({
        features: ['text'],
        num_rows: 2000
    })
})
{'quant_method': <QuantizationMethod.BITS_AND_BYTES: 'bitsandbytes'>, 'load_in_8bit': False, 'load_in_4bit': True, 'llm_int8_threshold': 6.0, 'llm_int8_skip_modules': None, 'llm_int8_enable_fp32_cpu_offload': False, 'llm_int8_has_fp16_weight': False, 'bnb_4bit_quant_type': 'nf4', 'bnb_4bit_use_double_quant': False, 'bnb_4bit_compute_dtype': 'float16'}
{'loss': 2.5348, 'learning_rate': 1.020408163265306e-06, 'epoch': 0.01}
{'loss': 1.3391, 'learning_rate': 3.979591836734694e-05, 'epoch': 0.5}
{'loss': 1.2786, 'learning_rate': 4.0816326530612245e-05, 'epoch': 0.51}
{'loss': 1.1654, 'learning_rate': 4.183673469387756e-05, 'epoch': 0.52}
{'loss': 1.1265, 'learning_rate': 4.2857142857142856e-05, 'epoch': 0.54}
{'loss': 1.0641, 'learning_rate': 4.387755102040816e-05, 'epoch': 0.55}
{'loss': 1.0146, 'learning_rate': 4.4897959183673474e-05, 'epoch': 0.56}
{'loss': 0.9616, 'learning_rate': 4.591836734693878e-05, 'epoch': 0.58}
{'loss': 0.9244, 'learning_rate': 4.6938775510204086e-05, 'epoch': 0.59}
{'loss': 0.8623, 'learning_rate': 4.795918367346939e-05, 'epoch': 0.6}
{'loss': 0.8487, 'learning_rate': 4.89795918367347e-05, 'epoch': 0.61}
{'loss': 0.7964, 'learning_rate': 5e-05, 'epoch': 0.63}
{'loss': 0.7598, 'learning_rate': 5.102040816326531e-05, 'epoch': 0.64}
{'loss': 0.7187, 'learning_rate': 5.2040816326530614e-05, 'epoch': 0.65}
{'loss': 0.7234, 'learning_rate': 5.3061224489795926e-05, 'epoch': 0.66}
{'loss': 0.6608, 'learning_rate': 5.408163265306123e-05, 'epoch': 0.68}
{'loss': 0.649, 'learning_rate': 5.510204081632653e-05, 'epoch': 0.69}
{'loss': 0.5767, 'learning_rate': 5.6122448979591836e-05, 'epoch': 0.7}
{'loss': 0.5016, 'learning_rate': 5.714285714285714e-05, 'epoch': 0.72}
{'loss': 0.4336, 'learning_rate': 5.816326530612245e-05, 'epoch': 0.73}
{'loss': 1.2203, 'learning_rate': 5.918367346938776e-05, 'epoch': 0.74}
{'loss': 1.1556, 'learning_rate': 6.0204081632653065e-05, 'epoch': 0.75}
{'loss': 1.0808, 'learning_rate': 6.122448979591838e-05, 'epoch': 0.77}
{'loss': 1.0243, 'learning_rate': 6.224489795918368e-05, 'epoch': 0.78}
{'loss': 1.001, 'learning_rate': 6.326530612244899e-05, 'epoch': 0.79}
{'loss': 0.9694, 'learning_rate': 6.428571428571429e-05, 'epoch': 0.81}
{'loss': 0.913, 'learning_rate': 6.530612244897959e-05, 'epoch': 0.82}
{'loss': 0.9023, 'learning_rate': 6.63265306122449e-05, 'epoch': 0.83}
{'loss': 0.8465, 'learning_rate': 6.73469387755102e-05, 'epoch': 0.84}
{'loss': 0.8106, 'learning_rate': 6.836734693877551e-05, 'epoch': 0.86}
{'loss': 0.7893, 'learning_rate': 6.938775510204082e-05, 'epoch': 0.87}
{'loss': 0.7493, 'learning_rate': 7.040816326530612e-05, 'epoch': 0.88}
{'loss': 0.7378, 'learning_rate': 7.142857142857143e-05, 'epoch': 0.89}
{'loss': 0.6957, 'learning_rate': 7.244897959183675e-05, 'epoch': 0.91}
{'loss': 0.6528, 'learning_rate': 7.346938775510205e-05, 'epoch': 0.92}
{'loss': 0.6216, 'learning_rate': 7.448979591836736e-05, 'epoch': 0.93}
{'loss': 0.5854, 'learning_rate': 7.551020408163266e-05, 'epoch': 0.95}
{'loss': 0.5047, 'learning_rate': 7.653061224489796e-05, 'epoch': 0.96}
{'loss': 0.4382, 'learning_rate': 7.755102040816327e-05, 'epoch': 0.97}
{'loss': 1.0141, 'learning_rate': 7.857142857142858e-05, 'epoch': 0.98}
{'loss': 0.6962, 'learning_rate': 7.959183673469388e-05, 'epoch': 1.0}
{'loss': 0.9725, 'learning_rate': 8.061224489795919e-05, 'epoch': 1.01}
{'loss': 1.1096, 'learning_rate': 8.163265306122449e-05, 'epoch': 1.02}
{'loss': 1.0404, 'learning_rate': 8.26530612244898e-05, 'epoch': 1.04}
{'loss': 0.9805, 'learning_rate': 8.367346938775511e-05, 'epoch': 1.05}
{'loss': 0.9828, 'learning_rate': 8.469387755102041e-05, 'epoch': 1.06}
{'loss': 0.9378, 'learning_rate': 8.571428571428571e-05, 'epoch': 1.07}
{'loss': 0.8807, 'learning_rate': 8.673469387755102e-05, 'epoch': 1.09}
{'loss': 0.8738, 'learning_rate': 8.775510204081632e-05, 'epoch': 1.1}
{'loss': 0.8232, 'learning_rate': 8.877551020408164e-05, 'epoch': 1.11}
{'loss': 0.7909, 'learning_rate': 8.979591836734695e-05, 'epoch': 1.12}
{'loss': 0.7488, 'learning_rate': 9.081632653061225e-05, 'epoch': 1.14}
{'loss': 0.7249, 'learning_rate': 9.183673469387756e-05, 'epoch': 1.15}
{'loss': 0.6873, 'learning_rate': 9.285714285714286e-05, 'epoch': 1.16}
{'loss': 0.6724, 'learning_rate': 9.387755102040817e-05, 'epoch': 1.18}
{'loss': 0.6235, 'learning_rate': 9.489795918367348e-05, 'epoch': 1.19}
{'loss': 0.59, 'learning_rate': 9.591836734693878e-05, 'epoch': 1.2}
{'loss': 0.5489, 'learning_rate': 9.693877551020408e-05, 'epoch': 1.21}
{'loss': 0.4859, 'learning_rate': 9.79591836734694e-05, 'epoch': 1.23}
{'loss': 0.4272, 'learning_rate': 9.897959183673469e-05, 'epoch': 1.24}
{'loss': 0.9163, 'learning_rate': 0.0001, 'epoch': 1.25}
{'loss': 1.0914, 'learning_rate': 9.999992806211169e-05, 'epoch': 1.27}
{'loss': 0.9801, 'learning_rate': 9.999971224865376e-05, 'epoch': 1.28}
{'loss': 0.9598, 'learning_rate': 9.999935256024723e-05, 'epoch': 1.29}
{'loss': 0.914, 'learning_rate': 9.999884899792711e-05, 'epoch': 1.3}
{'loss': 0.8743, 'learning_rate': 9.999820156314238e-05, 'epoch': 1.32}
{'loss': 0.8557, 'learning_rate': 9.999741025775608e-05, 'epoch': 1.33}
{'loss': 0.8391, 'learning_rate': 9.999647508404518e-05, 'epoch': 1.34}
{'loss': 0.7947, 'learning_rate': 9.999539604470068e-05, 'epoch': 1.35}
{'loss': 0.767, 'learning_rate': 9.999417314282749e-05, 'epoch': 1.37}
{'loss': 0.744, 'learning_rate': 9.999280638194456e-05, 'epoch': 1.38}
{'loss': 0.7069, 'learning_rate': 9.999129576598475e-05, 'epoch': 1.39}
{'loss': 0.6447, 'learning_rate': 9.998964129929493e-05, 'epoch': 1.41}
{'loss': 0.6325, 'learning_rate': 9.998784298663578e-05, 'epoch': 1.42}
{'loss': 0.6175, 'learning_rate': 9.998590083318203e-05, 'epoch': 1.43}
{'loss': 0.597, 'learning_rate': 9.998381484452221e-05, 'epoch': 1.44}
{'loss': 0.5458, 'learning_rate': 9.998158502665883e-05, 'epoch': 1.46}
{'loss': 0.4916, 'learning_rate': 9.99792113860082e-05, 'epoch': 1.47}
{'loss': 0.415, 'learning_rate': 9.99766939294005e-05, 'epoch': 1.48}
{'loss': 0.8929, 'learning_rate': 9.997403266407979e-05, 'epoch': 1.5}
{'loss': 1.0407, 'learning_rate': 9.997122759770385e-05, 'epoch': 1.51}
{'loss': 0.9449, 'learning_rate': 9.996827873834434e-05, 'epoch': 1.52}
{'loss': 0.9141, 'learning_rate': 9.996518609448665e-05, 'epoch': 1.53}
{'loss': 0.9042, 'learning_rate': 9.996194967502987e-05, 'epoch': 1.55}
{'loss': 0.8545, 'learning_rate': 9.995856948928689e-05, 'epoch': 1.56}
{'loss': 0.8295, 'learning_rate': 9.995504554698422e-05, 'epoch': 1.57}
{'loss': 0.7979, 'learning_rate': 9.995137785826207e-05, 'epoch': 1.58}
{'loss': 0.7447, 'learning_rate': 9.99475664336743e-05, 'epoch': 1.6}
{'loss': 0.7403, 'learning_rate': 9.994361128418828e-05, 'epoch': 1.61}
{'loss': 0.6932, 'learning_rate': 9.993951242118507e-05, 'epoch': 1.62}
{'loss': 0.6792, 'learning_rate': 9.993526985645917e-05, 'epoch': 1.64}
{'loss': 0.6318, 'learning_rate': 9.993088360221866e-05, 'epoch': 1.65}
{'loss': 0.6045, 'learning_rate': 9.992635367108503e-05, 'epoch': 1.66}
{'loss': 0.5963, 'learning_rate': 9.992168007609327e-05, 'epoch': 1.67}
{'loss': 0.553, 'learning_rate': 9.991686283069166e-05, 'epoch': 1.69}
{'loss': 0.5055, 'learning_rate': 9.991190194874194e-05, 'epoch': 1.7}
{'loss': 0.4726, 'learning_rate': 9.99067974445191e-05, 'epoch': 1.71}
{'loss': 0.4146, 'learning_rate': 9.990154933271146e-05, 'epoch': 1.73}
{'loss': 0.834, 'learning_rate': 9.989615762842052e-05, 'epoch': 1.74}
{'loss': 1.0234, 'learning_rate': 9.9890622347161e-05, 'epoch': 1.75}
{'loss': 0.9288, 'learning_rate': 9.988494350486077e-05, 'epoch': 1.76}
{'loss': 0.8914, 'learning_rate': 9.987912111786076e-05, 'epoch': 1.78}
{'loss': 0.8573, 'learning_rate': 9.9873155202915e-05, 'epoch': 1.79}
{'loss': 0.8227, 'learning_rate': 9.986704577719051e-05, 'epoch': 1.8}
{'loss': 0.8064, 'learning_rate': 9.986079285826722e-05, 'epoch': 1.81}
{'loss': 0.8024, 'learning_rate': 9.985439646413803e-05, 'epoch': 1.83}
{'loss': 0.721, 'learning_rate': 9.984785661320868e-05, 'epoch': 1.84}
{'loss': 0.6959, 'learning_rate': 9.984117332429766e-05, 'epoch': 1.85}
{'loss': 0.639, 'learning_rate': 9.983434661663624e-05, 'epoch': 1.87}
{'loss': 0.6399, 'learning_rate': 9.98273765098684e-05, 'epoch': 1.88}
{'loss': 0.5996, 'learning_rate': 9.98202630240507e-05, 'epoch': 1.89}
{'loss': 0.571, 'learning_rate': 9.981300617965235e-05, 'epoch': 1.9}
{'loss': 0.5717, 'learning_rate': 9.980560599755499e-05, 'epoch': 1.92}
{'loss': 0.5458, 'learning_rate': 9.979806249905276e-05, 'epoch': 1.93}
{'loss': 0.5025, 'learning_rate': 9.979037570585223e-05, 'epoch': 1.94}
{'loss': 0.4547, 'learning_rate': 9.978254564007224e-05, 'epoch': 1.96}
{'loss': 0.3934, 'learning_rate': 9.977457232424393e-05, 'epoch': 1.97}
{'loss': 0.7562, 'learning_rate': 9.976645578131065e-05, 'epoch': 1.98}
{'loss': 0.6429, 'learning_rate': 9.975819603462786e-05, 'epoch': 1.99}
{'loss': 0.6555, 'learning_rate': 9.974979310796312e-05, 'epoch': 2.01}
{'loss': 0.9748, 'learning_rate': 9.974124702549598e-05, 'epoch': 2.02}
{'loss': 0.8956, 'learning_rate': 9.973255781181792e-05, 'epoch': 2.03}
{'loss': 0.8175, 'learning_rate': 9.972372549193232e-05, 'epoch': 2.04}
{'loss': 0.7507, 'learning_rate': 9.971475009125426e-05, 'epoch': 2.06}
{'loss': 0.7637, 'learning_rate': 9.970563163561064e-05, 'epoch': 2.07}
{'loss': 0.7346, 'learning_rate': 9.969637015123994e-05, 'epoch': 2.08}
{'loss': 0.7063, 'learning_rate': 9.968696566479224e-05, 'epoch': 2.1}
{'loss': 0.6745, 'learning_rate': 9.967741820332908e-05, 'epoch': 2.11}
{'loss': 0.637, 'learning_rate': 9.966772779432343e-05, 'epoch': 2.12}
{'loss': 0.6231, 'learning_rate': 9.965789446565959e-05, 'epoch': 2.13}
{'loss': 0.5949, 'learning_rate': 9.964791824563313e-05, 'epoch': 2.15}
{'loss': 0.5572, 'learning_rate': 9.963779916295078e-05, 'epoch': 2.16}
{'loss': 0.5195, 'learning_rate': 9.962753724673033e-05, 'epoch': 2.17}
{'loss': 0.5199, 'learning_rate': 9.961713252650063e-05, 'epoch': 2.19}
{'loss': 0.4929, 'learning_rate': 9.96065850322014e-05, 'epoch': 2.2}
{'loss': 0.4665, 'learning_rate': 9.959589479418326e-05, 'epoch': 2.21}
{'loss': 0.417, 'learning_rate': 9.958506184320748e-05, 'epoch': 2.22}
{'loss': 0.3901, 'learning_rate': 9.95740862104461e-05, 'epoch': 2.24}
{'loss': 0.5898, 'learning_rate': 9.956296792748163e-05, 'epoch': 2.25}
{'loss': 0.9012, 'learning_rate': 9.955170702630713e-05, 'epoch': 2.26}
{'loss': 0.8059, 'learning_rate': 9.954030353932601e-05, 'epoch': 2.27}
{'loss': 0.7631, 'learning_rate': 9.952875749935198e-05, 'epoch': 2.29}
{'loss': 0.7161, 'learning_rate': 9.951706893960892e-05, 'epoch': 2.3}
{'loss': 0.7264, 'learning_rate': 9.950523789373091e-05, 'epoch': 2.31}
{'loss': 0.7207, 'learning_rate': 9.94932643957619e-05, 'epoch': 2.33}
{'loss': 0.6775, 'learning_rate': 9.948114848015586e-05, 'epoch': 2.34}
{'loss': 0.6257, 'learning_rate': 9.946889018177651e-05, 'epoch': 2.35}
{'loss': 0.6088, 'learning_rate': 9.945648953589728e-05, 'epoch': 2.36}
{'loss': 0.5853, 'learning_rate': 9.944394657820127e-05, 'epoch': 2.38}
{'loss': 0.5662, 'learning_rate': 9.943126134478096e-05, 'epoch': 2.39}
{'loss': 0.517, 'learning_rate': 9.941843387213837e-05, 'epoch': 2.4}
{'loss': 0.4964, 'learning_rate': 9.940546419718473e-05, 'epoch': 2.42}
{'loss': 0.4779, 'learning_rate': 9.939235235724047e-05, 'epoch': 2.43}
{'loss': 0.4541, 'learning_rate': 9.937909839003513e-05, 'epoch': 2.44}
{'loss': 0.4344, 'learning_rate': 9.936570233370719e-05, 'epoch': 2.45}
{'loss': 0.3858, 'learning_rate': 9.935216422680404e-05, 'epoch': 2.47}
{'loss': 0.3608, 'learning_rate': 9.933848410828174e-05, 'epoch': 2.48}
{'loss': 0.5343, 'learning_rate': 9.93246620175051e-05, 'epoch': 2.49}
{'loss': 0.8785, 'learning_rate': 9.93106979942474e-05, 'epoch': 2.5}
{'loss': 0.7658, 'learning_rate': 9.929659207869027e-05, 'epoch': 2.52}
{'loss': 0.7112, 'learning_rate': 9.928234431142376e-05, 'epoch': 2.53}
{'loss': 0.6787, 'learning_rate': 9.926795473344603e-05, 'epoch': 2.54}
{'loss': 0.6695, 'learning_rate': 9.92534233861633e-05, 'epoch': 2.56}
{'loss': 0.6681, 'learning_rate': 9.923875031138973e-05, 'epoch': 2.57}
{'loss': 0.6296, 'learning_rate': 9.922393555134739e-05, 'epoch': 2.58}
{'loss': 0.6184, 'learning_rate': 9.920897914866592e-05, 'epoch': 2.59}
{'loss': 0.5659, 'learning_rate': 9.919388114638262e-05, 'epoch': 2.61}
{'loss': 0.5389, 'learning_rate': 9.917864158794222e-05, 'epoch': 2.62}
{'loss': 0.526, 'learning_rate': 9.91632605171968e-05, 'epoch': 2.63}
{'loss': 0.5004, 'learning_rate': 9.914773797840562e-05, 'epoch': 2.65}
{'loss': 0.46, 'learning_rate': 9.913207401623501e-05, 'epoch': 2.66}
{'loss': 0.4537, 'learning_rate': 9.911626867575831e-05, 'epoch': 2.67}
{'loss': 0.4503, 'learning_rate': 9.910032200245558e-05, 'epoch': 2.68}
{'loss': 0.3992, 'learning_rate': 9.908423404221366e-05, 'epoch': 2.7}
{'loss': 0.3684, 'learning_rate': 9.906800484132589e-05, 'epoch': 2.71}
{'loss': 0.3394, 'learning_rate': 9.905163444649204e-05, 'epoch': 2.72}
{'loss': 0.5156, 'learning_rate': 9.90351229048182e-05, 'epoch': 2.73}
{'loss': 0.77, 'learning_rate': 9.901847026381657e-05, 'epoch': 2.75}
{'loss': 0.7156, 'learning_rate': 9.900167657140537e-05, 'epoch': 2.76}
{'loss': 0.7301, 'learning_rate': 9.898474187590873e-05, 'epoch': 2.77}
{'loss': 0.6299, 'learning_rate': 9.896766622605649e-05, 'epoch': 2.79}
{'loss': 0.6263, 'learning_rate': 9.89504496709841e-05, 'epoch': 2.8}
{'loss': 0.6304, 'learning_rate': 9.893309226023249e-05, 'epoch': 2.81}
{'loss': 0.6142, 'learning_rate': 9.891559404374784e-05, 'epoch': 2.82}
{'loss': 0.5691, 'learning_rate': 9.889795507188155e-05, 'epoch': 2.84}
{'loss': 0.5589, 'learning_rate': 9.888017539539005e-05, 'epoch': 2.85}
{'loss': 0.5248, 'learning_rate': 9.886225506543461e-05, 'epoch': 2.86}
{'loss': 0.4845, 'learning_rate': 9.88441941335813e-05, 'epoch': 2.88}
{'loss': 0.4766, 'learning_rate': 9.882599265180069e-05, 'epoch': 2.89}
{'loss': 0.4298, 'learning_rate': 9.880765067246784e-05, 'epoch': 2.9}
{'loss': 0.4405, 'learning_rate': 9.87891682483621e-05, 'epoch': 2.91}
{'loss': 0.4194, 'learning_rate': 9.87705454326669e-05, 'epoch': 2.93}
{'loss': 0.3907, 'learning_rate': 9.87517822789697e-05, 'epoch': 2.94}
{'loss': 0.3597, 'learning_rate': 9.873287884126177e-05, 'epoch': 2.95}
{'loss': 0.3439, 'learning_rate': 9.871383517393803e-05, 'epoch': 2.96}
{'loss': 0.5405, 'learning_rate': 9.869465133179694e-05, 'epoch': 2.98}
{'loss': 0.5418, 'learning_rate': 9.867532737004031e-05, 'epoch': 2.99}
{'loss': 0.4249, 'learning_rate': 9.865586334427312e-05, 'epoch': 3.0}
{'loss': 0.6857, 'learning_rate': 9.863625931050342e-05, 'epoch': 3.02}
{'loss': 0.6559, 'learning_rate': 9.861651532514212e-05, 'epoch': 3.03}
{'loss': 0.6228, 'learning_rate': 9.859663144500284e-05, 'epoch': 3.04}
{'loss': 0.5389, 'learning_rate': 9.857660772730176e-05, 'epoch': 3.05}
{'loss': 0.5495, 'learning_rate': 9.855644422965744e-05, 'epoch': 3.07}
{'loss': 0.5658, 'learning_rate': 9.853614101009065e-05, 'epoch': 3.08}
{'loss': 0.5075, 'learning_rate': 9.851569812702422e-05, 'epoch': 3.09}
{'loss': 0.4871, 'learning_rate': 9.849511563928287e-05, 'epoch': 3.11}
{'loss': 0.4838, 'learning_rate': 9.847439360609302e-05, 'epoch': 3.12}
{'loss': 0.4666, 'learning_rate': 9.845353208708267e-05, 'epoch': 3.13}
{'loss': 0.4336, 'learning_rate': 9.843253114228113e-05, 'epoch': 3.14}
{'loss': 0.4224, 'learning_rate': 9.841139083211895e-05, 'epoch': 3.16}
{'loss': 0.3816, 'learning_rate': 9.839011121742772e-05, 'epoch': 3.17}
{'loss': 0.3595, 'learning_rate': 9.836869235943984e-05, 'epoch': 3.18}
{'loss': 0.3603, 'learning_rate': 9.834713431978843e-05, 'epoch': 3.19}
{'loss': 0.331, 'learning_rate': 9.832543716050706e-05, 'epoch': 3.21}
{'loss': 0.3008, 'learning_rate': 9.830360094402966e-05, 'epoch': 3.22}
{'loss': 0.2859, 'learning_rate': 9.828162573319027e-05, 'epoch': 3.23}
{'loss': 0.3438, 'learning_rate': 9.825951159122291e-05, 'epoch': 3.25}
{'loss': 0.7421, 'learning_rate': 9.823725858176136e-05, 'epoch': 3.26}
{'loss': 0.6857, 'learning_rate': 9.8214866768839e-05, 'epoch': 3.27}
{'loss': 0.6009, 'learning_rate': 9.819233621688864e-05, 'epoch': 3.28}
{'loss': 0.5148, 'learning_rate': 9.816966699074226e-05, 'epoch': 3.3}
{'loss': 0.5234, 'learning_rate': 9.814685915563094e-05, 'epoch': 3.31}
{'loss': 0.5381, 'learning_rate': 9.812391277718455e-05, 'epoch': 3.32}
{'loss': 0.5022, 'learning_rate': 9.810082792143167e-05, 'epoch': 3.34}
{'loss': 0.4696, 'learning_rate': 9.807760465479934e-05, 'epoch': 3.35}
{'loss': 0.4498, 'learning_rate': 9.805424304411284e-05, 'epoch': 3.36}
{'loss': 0.4332, 'learning_rate': 9.80307431565956e-05, 'epoch': 3.37}
{'loss': 0.4141, 'learning_rate': 9.800710505986888e-05, 'epoch': 3.39}
{'loss': 0.3779, 'learning_rate': 9.798332882195171e-05, 'epoch': 3.4}
{'loss': 0.3599, 'learning_rate': 9.795941451126056e-05, 'epoch': 3.41}
{'loss': 0.3663, 'learning_rate': 9.793536219660922e-05, 'epoch': 3.42}
{'loss': 0.362, 'learning_rate': 9.791117194720862e-05, 'epoch': 3.44}
{'loss': 0.3263, 'learning_rate': 9.788684383266655e-05, 'epoch': 3.45}
{'loss': 0.2945, 'learning_rate': 9.786237792298757e-05, 'epoch': 3.46}
{'loss': 0.2805, 'learning_rate': 9.783777428857272e-05, 'epoch': 3.48}
{'loss': 0.308, 'learning_rate': 9.78130330002193e-05, 'epoch': 3.49}
{'loss': 0.6873, 'learning_rate': 9.778815412912078e-05, 'epoch': 3.5}
{'loss': 0.625, 'learning_rate': 9.776313774686649e-05, 'epoch': 3.51}
{'loss': 0.5422, 'learning_rate': 9.773798392544146e-05, 'epoch': 3.53}
{'loss': 0.4836, 'learning_rate': 9.771269273722621e-05, 'epoch': 3.54}
{'loss': 0.4968, 'learning_rate': 9.768726425499651e-05, 'epoch': 3.55}
{'loss': 0.5011, 'learning_rate': 9.766169855192321e-05, 'epoch': 3.57}
{'loss': 0.4758, 'learning_rate': 9.763599570157205e-05, 'epoch': 3.58}
{'loss': 0.4547, 'learning_rate': 9.761015577790336e-05, 'epoch': 3.59}
{'loss': 0.4383, 'learning_rate': 9.758417885527191e-05, 'epoch': 3.6}
{'loss': 0.4269, 'learning_rate': 9.755806500842672e-05, 'epoch': 3.62}
{'loss': 0.3645, 'learning_rate': 9.753181431251077e-05, 'epoch': 3.63}
{'loss': 0.3699, 'learning_rate': 9.750542684306088e-05, 'epoch': 3.64}
{'loss': 0.3448, 'learning_rate': 9.747890267600735e-05, 'epoch': 3.65}
{'loss': 0.338, 'learning_rate': 9.745224188767393e-05, 'epoch': 3.67}
{'loss': 0.3272, 'learning_rate': 9.742544455477743e-05, 'epoch': 3.68}
{'loss': 0.3306, 'learning_rate': 9.739851075442758e-05, 'epoch': 3.69}
{'loss': 0.2645, 'learning_rate': 9.737144056412683e-05, 'epoch': 3.71}
{'loss': 0.2615, 'learning_rate': 9.734423406177008e-05, 'epoch': 3.72}
{'loss': 0.2937, 'learning_rate': 9.731689132564444e-05, 'epoch': 3.73}
{'loss': 0.6042, 'learning_rate': 9.728941243442908e-05, 'epoch': 3.74}
{'loss': 0.5423, 'learning_rate': 9.726179746719492e-05, 'epoch': 3.76}
{'loss': 0.5286, 'learning_rate': 9.723404650340445e-05, 'epoch': 3.77}
{'loss': 0.4462, 'learning_rate': 9.720615962291153e-05, 'epoch': 3.78}
{'loss': 0.4641, 'learning_rate': 9.717813690596107e-05, 'epoch': 3.8}
{'loss': 0.4451, 'learning_rate': 9.714997843318885e-05, 'epoch': 3.81}
{'loss': 0.4422, 'learning_rate': 9.712168428562136e-05, 'epoch': 3.82}
{'loss': 0.405, 'learning_rate': 9.709325454467544e-05, 'epoch': 3.83}
{'loss': 0.4052, 'learning_rate': 9.706468929215808e-05, 'epoch': 3.85}
{'loss': 0.375, 'learning_rate': 9.703598861026628e-05, 'epoch': 3.86}
{'loss': 0.3618, 'learning_rate': 9.700715258158665e-05, 'epoch': 3.87}
{'loss': 0.3362, 'learning_rate': 9.697818128909535e-05, 'epoch': 3.88}
{'loss': 0.3311, 'learning_rate': 9.694907481615769e-05, 'epoch': 3.9}
{'loss': 0.3288, 'learning_rate': 9.691983324652803e-05, 'epoch': 3.91}
